[2023-11-3 23:21] Accepted game request from klo | 3ENH6. Points: 100 Games: 3
[2023-11-3 23:21] Accepted game request from uip | 9UDTA. Points: 300 Games: 2
[2023-11-3 23:21] uip | 9UDTA point updated 400
[2023-11-3 23:21] klo | 3ENH6 point updated 0
[2023-11-3 23:22] Accepted game request from klo | 3ENH6. Points: 100 Games: 4
[2023-11-3 23:22] Accepted game request from uip | 9UDTA. Points: 400 Games: 3
[2023-11-3 23:22] uip | 9UDTA point updated 300
[2023-11-3 23:22] klo | 3ENH6 point updated 0
[2023-11-3 23:23] uip | 9UDTA point updated 500
[2023-11-3 23:23] klo | 3ENH6 point updated 0
[2023-11-3 23:24] Accepted game request from klo | 3ENH6. Points: 50 Games: 5
[2023-11-3 23:24] Accepted game request from uip | 9UDTA. Points: 500 Games: 4
[2023-11-3 23:24] uip | 9UDTA point updated 550
[2023-11-3 23:24] klo | 3ENH6 point updated 0
[2023-11-3 23:25] Accepted game request from klo | 3ENH6. Points: 100 Games: 6
[2023-11-3 23:25] Accepted game request from uip | 9UDTA. Points: 550 Games: 5
[2023-11-3 23:26] uip | 9UDTA point updated 650
[2023-11-3 23:26] klo | 3ENH6 point updated 0
[2023-11-3 23:26] Ignored game request from klo | 3ENH6. Points: 0 Games: 7
[2023-11-3 23:26] Accepted game request from uip | 9UDTA. Points: 650 Games: 6
